,Unnamed: 0,Level 1,absolute_position_1,absolute_position_2,relative_position_1,relative_position_2,yolo_answer1,yolo_answer2,yolo_answer3,yolo_answer4,som_answer1,som_answer2,som_answer3,som_answer4,absolute_position_1_ans1,absolute_position_1_ans_rate1,absolute_position_1_ans2,absolute_position_1_ans_rate2,absolute_position_1_ans3,absolute_position_1_ans_rate3,absolute_position_1_ans4,absolute_position_1_ans_rate4,absolute_position_2_ans1,absolute_position_2_ans_rate1,absolute_position_2_ans2,absolute_position_2_ans_rate2,absolute_position_2_ans3,absolute_position_2_ans_rate3,absolute_position_2_ans4,absolute_position_2_ans_rate4,relative_position_1_ans1,relative_position_1_ans_rate1,relative_position_1_ans2,relative_position_1_ans_rate2,relative_position_1_ans3,relative_position_1_ans_rate3,relative_position_1_ans4,relative_position_1_ans_rate4,relative_position_2_ans1,relative_position_2_ans_rate1,relative_position_2_ans2,relative_position_2_ans_rate2,relative_position_2_ans3,relative_position_2_ans_rate3,relative_position_2_ans4,relative_position_2_ans_rate4
10,10,image11,The left-most object.,The left-most fruit.,The object behind the pringles.,The object at the left of the lemon.,5,7,4,7,13,17,9,17,"5
",,"5
",,"5
",,"5
",,"5
",,"5
",,"7
",,"7
",,4,,"3
",,"2
",,"2
",,"3
",,"3
",,"6
",,"8
",
11,11,image12,The right-most fruit.,The right-most ball.,The object behind the pear.,The object behind the pringles.,9,3,2,1,14,6,10,7,"3
",,"3
",,"9
",,"9
",,"3
",,"3
",,"3
",,"3
",,"1
",,"2
",,"2
",,"2
",,"2
",,"2
",,"6
",,"6
",
12,12,image13,The left-most ball.,The right-most ball.,The object at the right of the soft ball.,The object behind the mustard.,2,9,5,7,8,14,12,16,4,,2,,"9
",,"9
",,"5
",,"5
",,"9
",,"2
",,"8
",,"8
",,"5
",,"5
",,"3
",,"3
",,"6
",,"3
",
13,13,image14,The left-most ball.,The right-most fruit.,The object behind the lemon.,The object behind the apple.,6,5,1,2,7,13,11,7,"2
",,"2
",,"2
",,"2
",,"5
",,"5
",,"5
",,"5
",,"3
",,"3
",,"6
",,"6
",,"3
",,3,,"6
",,"6
",
14,14,image15,The center fruit.,The right-most fruit.,The object at the right of the pringles.,The object behind the left strawberry.,5,6,3,1,4,7,6,5,"6
",,"3
",,"6
",,"6
",,"6
",,"6
",,"6
",,"6
",,"6
",,"6
",,"3
",,"3
",,"5
",,"2
",,"1
",,"1
",
15,15,image16,The right-most ball.,The right-most fruit.,The object at the right of the apple.,The object behind the mustard.,7,6,6,1,14,16,16,5,3,,"3
",,"7
",,"7
",,"3
",,3,,"6
",,"6
",,3,,"3
",,"7
",,"7
",,"9
",,"9
",,"1
",,"1
",
16,16,image17,The left-most ball.,The right-most fruit.,The object at the right of the apple.,The object behind the apple.,1,5,5,2,8,10,10,6,"1
",,"1
",,"1
",,"1
",,"5
",,"5
",,"6
",,"6
",,"5
",,"5
",,"5
",,"3
",,"4
",,"4
",,"2
",,"2
",
17,17,image18,The left-most fruit.,The right-most fruit.,The object at the right of the spam.,The object behind the left strawberry.,5,6,1,4,~,~,7,9,"4
",,"4
",,"5
",,"5
",,3,,"3
",,"6
",,"6
",,"3
",,"3
",,"3
",,"3
",,"6
",,"6
",,"4
",,"4
",
18,18,image19,The left-most fruit.,The left-most kitchen tool.,The object at the right of the coffee can.,The object behind the rubics cube.,6,1,3,2,~,6,10,8,"1
",,"1
",,"6
",,"6
",,"1
",,"1
",,"1
",,"1
",,"4
",,"4
",,"3
",,"3
",,"2
",,"2
",,"2
",,"2
",
19,19,image20,The right-most ball.,The right-most fruit.,The object at the right of the apple.,The object behind the peach.,2,7,2,2,9,14,9,9,"7
",,"7
",,"2
",,"2
",,"7
",,"7
",,"7
",,"7
",,"7
",,"5
",,"2
",,"7
",,"4
",,"5
",,"5
",,"5
",
20,20,image21,The left-most fruit.,The right-most food.,The object at the left of the strawberry.,The object behind the pear.,10,2,7,5,15,13,12,14,"7
",,"7
",,"6
",,"6
",,"42
",,"42
",,"2
",,"2
",,"9
",,"9
",,"9
",,"9
",,"4
",,"4
",,"5
",,"8
",
21,21,image22,The left-most ball.,The right-most fruit.,The object behind the strawberry.,The object behind the baseball.,4,6,3,1,10,^,8,6,"1
",,"1
",,"4
",,"4
",,"2
",,"2
",,"6
",,"6
",,"5
",,"5
",,"3
",,"3
",,"6
",,"5
",,"1
",,"1
",
22,22,image23,The left-most fruit.,The left-most ball.,The object at the right of the left strawberry.,The object behind the right strawberry.,6,4,9,5,0,12,^,8,3,,"3
",,"6
",,"6
",,3,,"3
",,"4
",,"4
",,"9
",,"9
",,"9
",,"9
",,"9
",,"9
",,"8
",,"8
",
23,23,image24,The left-most fruit.,The center fruit.,The object behind the right peach.,The object in front of the right pringles.,6,10,2,7,^,15,7,1,"6
",,"6
",,"6
",,"6
",,"5
",,"5
",,"8
",,"10
",,"9
",,"7
",,"2
",,"2
",,"4
",,"9
",,"7
",,"7
",
24,24,image25,The left-most fruit.,The center fruit.,The object behind the strawberry.,The object behind the pear.,4,3,2,1,10,9,7,8,4,,"4
",,"4
",,"4
",,"3
",,"3
",,"3
",,"3
",,"3
",,"4
",,"3
",,"3
",,"3
",,"3
",,"1
",,"1
",
