,Unnamed: 0,Level 1,absolute_position_1,absolute_position_2,relative_position_1,relative_position_2,yolo_answer1,yolo_answer2,yolo_answer3,yolo_answer4,som_answer1,som_answer2,som_answer3,som_answer4,absolute_position_1_ans1,absolute_position_1_ans_rate1,absolute_position_1_ans2,absolute_position_1_ans_rate2,absolute_position_1_ans3,absolute_position_1_ans_rate3,absolute_position_1_ans4,absolute_position_1_ans_rate4,absolute_position_2_ans1,absolute_position_2_ans_rate1,absolute_position_2_ans2,absolute_position_2_ans_rate2,absolute_position_2_ans3,absolute_position_2_ans_rate3,absolute_position_2_ans4,absolute_position_2_ans_rate4,relative_position_1_ans1,relative_position_1_ans_rate1,relative_position_1_ans2,relative_position_1_ans_rate2,relative_position_1_ans3,relative_position_1_ans_rate3,relative_position_1_ans4,relative_position_1_ans_rate4,relative_position_2_ans1,relative_position_2_ans_rate1,relative_position_2_ans2,relative_position_2_ans_rate2,relative_position_2_ans3,relative_position_2_ans_rate3,relative_position_2_ans4,relative_position_2_ans_rate4
12,12,image13,The left-most ball.,The right-most ball.,The object at the right of the soft ball.,The object behind the mustard.,2,9,5,7,8,14,12,16,"14
",,,,,,,,"12
",,,,,,,,"12
",,,,,,,,"10
",,,,,,,
13,13,image14,The left-most ball.,The right-most fruit.,The object behind the lemon.,The object behind the apple.,6,5,1,2,7,13,11,7,"7
",,,,,,,,"13
",,,,,,,,"12
",,,,,,,,"12
",,,,,,,
14,14,image15,The center fruit.,The right-most fruit.,The object at the right of the pringles.,The object behind the left strawberry.,5,6,3,1,4,7,6,5,"12
",,,,,,,,"7
",,,,,,,,"6
",,,,,,,,"5
",,,,,,,
15,15,image16,The right-most ball.,The right-most fruit.,The object at the right of the apple.,The object behind the mustard.,7,6,6,1,14,16,16,5,"14
",,,,,,,,"16
",,,,,,,,"14
",,,,,,,,"5
",,,,,,,
16,16,image17,The left-most ball.,The right-most fruit.,The object at the right of the apple.,The object behind the apple.,1,5,5,2,8,10,10,6,"8
",,,,,,,,"10
",,,,,,,,"9
",,,,,,,,"6
",,,,,,,
17,17,image18,The left-most fruit.,The right-most fruit.,The object at the right of the spam.,The object behind the left strawberry.,5,6,1,4,~,~,7,9,"9
",,,,,,,,"10
",,,,,,,,"10
",,,,,,,,"8
",,,,,,,
18,18,image19,The left-most fruit.,The left-most kitchen tool.,The object at the right of the coffee can.,The object behind the rubics cube.,6,1,3,2,~,6,10,8,"11
",,,,,,,,"6
",,,,,,,,"3
",,,,,,,,"8
",,,,,,,
19,19,image20,The right-most ball.,The right-most fruit.,The object at the right of the apple.,The object behind the peach.,2,7,2,2,9,14,9,9,"14
",,,,,,,,"14
",,,,,,,,"3
",,,,,,,,"6
",,,,,,,
20,20,image21,The left-most fruit.,The right-most food.,The object at the left of the strawberry.,The object behind the pear.,10,2,7,5,15,13,12,14,"14
",,,,,,,,"13
",,,,,,,,"10
",,,,,,,,"10
",,,,,,,
21,21,image22,The left-most ball.,The right-most fruit.,The object behind the strawberry.,The object behind the baseball.,4,6,3,1,10,^,8,6,"10
",,,,,,,,"4
",,,,,,,,"8
",,,,,,,,"6
",,,,,,,
22,22,image23,The left-most fruit.,The left-most ball.,The object at the right of the left strawberry.,The object behind the right strawberry.,6,4,9,5,0,12,^,8,"16
",,,,,,,,"12
",,,,,,,,"3
",,,,,,,,"9
",,,,,,,
23,23,image24,The left-most fruit.,The center fruit.,The object behind the right peach.,The object in front of the right pringles.,6,10,2,7,^,15,7,1,"12
",,,,,,,,"13
",,,,,,,,"7
",,,,,,,,"13
",,,,,,,
24,24,image25,The left-most fruit.,The center fruit.,The object behind the strawberry.,The object behind the pear.,4,3,2,1,10,9,7,8,"10
",,,,,,,,"9
",,,,,,,,"7
",,,,,,,,"7
",,,,,,,
